Bitcoin
-1.3989229
-1.3395386
-1.6229946
-1.2676696
-0.8925105
-0.9709959
-1.175495
-1.2476128
-1.5558566
-1.8413413
-1.6072905
-1.710774
-1.8360285
-1.9700474
-2.6344195
-1.2618988
-1.4289597
-1.9316562
-2.1832763
-2.7378028
-1.4410579
-1.3560891
-1.1304429
-1.3015624
-1.7922121
-1.7643031
-1.4945616
-2.0025664
-2.0940224
-1.9169247
-1.9103058
-0.8169163
-1.5217915
-1.7061182
-2.3787718
-2.1373998
-1.9313487
-2.0265439
-2.1097976
-1.6384129
-1.664998
-1.1514576
-1.2725951
-1.5653524
-1.6184416
-1.0623978
-1.4339353
-1.7198457
-1.7904453
-1.6182133
-1.5758304
-1.7609361
-1.7196849
-1.7712247
-1.5652352
-1.7140912
-1.9840184
-1.526725
-1.1441128
-1.6705913
-1.8995797
-1.8181751
-2.4512243
-1.3303093
-2.716114
-1.8812065
-2.081699
-1.5983812
-2.1898374
-2.1313532
-1.969862
-2.5861289
-2.1261757
-2.6473478
-2.1132407
-2.2537061
-2.0485541
-1.8601383
-2.0380992
-1.6736899
-1.8198765
-1.9251579
-2.2256385
-2.0382957
-1.7266851
-2.0610925
-2.0559753
-1.7153668
-2.0852283
