Cardano 
-0.4391053914
-0.7303586042
-0.8803718592
-0.6480067392
-1.056776952
-1.171033273
-1.259537746
-1.12224012
-1.039970672
-1.468777729
-1.015819591
-1.04028073
-1.247383998
-1.406930199
-1.352626021
-1.293471272
-1.06130697
-1.293093811
-1.220133978
-1.456811796
-1.291530972
-1.670093289
-1.729730728
-1.70610117
-1.322981372
-1.37179985
-0.4095182376
-1.279229739
-1.141897244
-1.507929232
-1.07522
-1.481536062
-1.039014649
-1.801985597
-1.050863985
-1.056235985
-0.653147849
-0.6406268522
-1.049594269
-1.390900736
-0.4587954083
-1.174704278
-1.692437155
-0.9714703355
-1.252690336
-1.779534846
-1.567752793
-1.144969896
-1.139438546
-1.406539307
-1.470347236
-1.462500311
-0.7129888341
-1.148413682
-1.500735573
-1.549797269
-1.663878887
-1.746163234
-1.272552297
-1.788837847
-1.591518471
-1.645997877
-1.492597684
-1.953942531
-2.274502894
-1.533543473
-1.391326371
-2.027896943
-2.713789591
-2.158053676
-1.673504377
-1.15362107
-1.405131815
-1.912888968
-1.284002162
-1.339703484
-1.937024077
-2.105731323
-1.482894052
-1.493125961
-1.799148059
-1.917224227
-0.8140829377
-1.245019239
