Dogecoin
-1.405018097
-0.464897319
-1.371050207
-0.7020949725
-0.3344383875
-0.3740188817
-0.6402109161
-1.123657112
-0.9926182664
-1.324522486
-1.299525495
-1.078089498
-0.7106707904
-0.7671453539
-1.450275563
-1.444739525
-1.481578479
-2.211123297
-2.015063172
-2.694569062
-1.028523642
-1.392445152
-2.027538956
-1.175724763
-2.018984536
-1.37482766
-1.800324069
-0.955511601
-2.112737595
1.770104318
-1.425766709
-0.9674131185
-1.686148434
-2.048832161
-2.437784676
-0.551796226
-1.573475234
-1.792408233
-2.916671108
-1.123166045
-1.019028464
0.6096003488
-0.3823565656
-1.267773909
0.07532314125
-0.2249572324
-0.5326183779
-1.467196642
-0.8836643548
-1.205510586
-1.093975692
-1.591390047
-1.222268678
-1.49775625
-1.554403713
-1.712288934
-1.005445893
-0.9710419796
-0.9915050379
-1.648498582
-1.370679423
-1.72751103
-0.8142767605
-0.8003207576
-1.528115699
-1.769735719
-1.752098671
-1.569704879
-1.327670369
-2.298366881
-1.639866872
-1.712991824
-1.828443668
-2.860927908
-1.951543083
-1.553070137
-1.72588225
-1.529496688
-1.508313352
-0.7034350835
-1.210262344
-1.370856974
-1.72990423
-1.391220127
-1.439753189
-1.561076002
-1.422654569
-0.8106013744
-1.333498282
