Litecoin
-1.02849
-0.77151
-1.4483
-1.11575
-0.24164
-0.92022
-0.70452
-0.86786
-1.182
-1.44402
-1.31208
-1.63663
-1.32418
-1.36762
-1.71936
-1.13646
-1.04867
-1.336
-0.99654
-1.61846
-1.0895
-1.19261
-1.27944
-1.16278
-1.54114
-1.40399
-1.53647
-1.65537
-1.68106
-1.24194
-1.31565
-0.47189
-1.51623
-1.60682
-2.03488
-1.59172
-1.45836
-1.30006
-1.72729
-1.01388
-1.00266
-0.95816
-1.00032
-1.57108
-1.12234
-0.347
-1.12185
-1.71215
-1.41319
-1.03737
-1.59681
-1.09144
-1.35112
-1.43759
-1.35486
-1.63452
-1.61109
-0.92429
-1.14955
-1.50555
-1.60867
-1.53806
-2.10134
-0.96089
-1.87245
-1.75052
-1.83294
-1.31327
-1.80774
-1.81954
-1.11062
-1.79117
-1.5795
-2.11044
-2.20302
-2.04787
-2.01407
-1.75677
-2.03257
-1.06995
-1.39714
-2.15989
-2.09812
-1.66103
-1.60344
-2.04119
-1.95533
-1.15297
-1.11542
