Tether
-3.8283
-3.73861
-4.01951
-2.55687
-2.75193
-3.14435
-3.56782
-4.42206
-5.17651
-4.87901
-5.19005
-3.18897
-5.12863
-4.26195
-2.98116
-2.9991
-3.22542
-2.53746
-2.48747
-2.39428
-2.50604
-2.61803
-4.2474
-4.54128
-4.63769
-4.58447
-4.97364
-4.36753
-4.00424
-4.61602
-4.59272
-4.09257
-5.18505
-5.58266
-5.43531
-5.33078
-5.29212
-4.95207
-4.96291
-5.10464
-4.72009
-4.15182
-5.27564
-3.88138
-5.0007
-4.90524
-5.96596
-6.08298
-5.80858
-5.96172
-6.20878
-5.84129
-6.11002
-5.77526
-5.853
-5.72414
-7.5626
-5.4975
-5.87895
-6.73896
-7.36595
-6.43807
-6.63107
-4.44252
-5.99033
-6.04387
-6.04913
-4.44364
-6.06211
-5.89627
-6.30921
-5.97555
-5.40412
-6.42973
-6.67292
-6.43814
-6.12243
-5.73109
-6.09295
-5.72493
-5.75082
-5.85593
-6.41977
-5.37411
-6.16594
-6.17527
-5.84057
-5.76697
-6.16596
