USD Coin
-2.535960732
-1.257932378
-2.408594785
-2.687436591
-2.155753982
-3.105580078
-2.88452884
-3.288028197
-3.791622861
-4.878365254
-5.309184321
-5.262845855
-5.317671911
-5.295724752
-4.666235488
-4.230103655
-5.368728465
-5.833960088
-5.502496988
-5.809604633
-5.701923026
-6.256997281
-6.305516281
-6.316151412
-5.805236513
-4.972554622
-5.698923054
-6.273788028
-5.975717206
-5.877198979
-6.691653603
-6.561113124
-6.358050308
-6.67254335
-6.474065442
-6.524596769
-6.596941553
-6.750080097
-7.263945392
-7.171313115
-7.093142891
-5.050643722
-6.762456414
-7.10841829
-7.621180091
-7.35349457
-7.688033893
-5.918832418
-7.526735514
-7.378591521
-6.988708179
-3.116977241
-6.799690452
-6.490377265
-6.504703704
-7.285127154
-6.134680394
-6.851416687
-6.704871985
-5.170140906
-6.193805062
-6.298918375
-6.16154813
-5.893065328
-6.262942203
-5.977020265
-6.460388889
-6.379209502
-6.5320893
-6.757449136
-6.100923668
-5.70023048
-6.156674125
