XRP
-0.89859
-1.14549
-1.19208
-1.25463
0.038975
-0.51082
-0.7316
-1.17374
-0.91394
-1.33601
-1.40594
-1.77179
-0.99484
-0.66974
-1.20455
-1.34271
-1.20707
-1.56902
-1.63745
-2.55493
-1.57082
-1.04477
-1.46331
-1.52144
-1.76458
-1.48155
-1.69592
-1.88753
-1.72721
-1.50107
-1.41294
-0.6159
-1.60275
-1.87792
-2.15553
-1.72509
-1.62213
-1.58015
-2.25572
-0.57352
-0.31981
-0.52766
-0.7812
-1.29377
-0.31805
-0.43955
-0.93215
-1.51718
-0.94837
-1.10525
-1.5695
-1.56003
-1.39937
-1.63071
-1.08252
-1.7247
-1.6241
-1.04843
-1.42657
-1.68001
-1.96877
-1.14814
-1.87678
-1.00036
-1.97487
-1.89373
-2.14399
-1.18784
-1.84416
-2.16144
-1.88528
-0.54752
-1.64322
-2.43027
-2.04929
-1.73982
-2.07274
-1.87737
-2.20391
-1.29039
-1.52965
-2.21663
-2.34711
-1.42246
-1.40478
-1.95556
-1.94156
-0.81904
-1.01192
