Ethereum
-1.320943335
-0.837982181
-1.837874043
-1.310402334
-0.8112798637
-0.8085012441
-0.9751012851
-1.221239359
-1.149449936
-1.24416185
-1.315568238
-1.664975282
-1.337080392
-0.9879271664
-1.567349228
-1.139355038
-0.938183381
-1.282802111
-1.283520052
-2.008264841
-1.522572866
-1.239030451
-1.376545011
-1.235314161
-1.647124841
-1.385951874
-1.597848981
-1.792169113
-1.765345526
-1.539419921
-1.323328723
-0.3400964392
-1.19606248
-1.484847481
-1.892986928
-1.756156683
-1.478542067
-1.169569133
-1.967541304
-1.355107908
-1.440846937
-0.7819117152
-1.290176292
-1.402828269
-1.390343405
-0.5415902698
-1.215185638
-1.46986176
-1.46261278
-1.177097668
-1.560682454
-1.465397138
-1.634056254
-1.407694627
-1.393289233
-1.734730485
-1.759505538
-1.202566307
-1.051031726
-1.153632028
-1.346579826
-1.487714324
-1.86367519
-1.07810816
-1.996539813
-1.847127582
-1.963603612
-1.68757681
-1.975929723
-2.189909956
-1.972326837
-2.365710869
-2.242440048
-2.616656696
-2.21137662
-1.778093974
-1.941937044
-1.748400068
-2.05959377
-1.506585661
-1.62459516
-1.541367913
-2.279464634
-1.830516405
-1.363386657
-1.899532063
-1.910575754
-1.477713348
-1.701969089
